+0.0000000000000000e+00 +1.6666666666666666e-01 -7.5595809610487250e-09 
+2.1707871342270601e-02 +8.3333333333333337e-01 +1.0854873859529450e-02 
+5.6831944997474224e-02 +8.3333333333333337e-01 +2.8416407344284050e-02 
+7.8539816339744828e-02 +1.6666666666666666e-01 +3.9268775101469096e-02 

+7.8539816339744828e-02 +1.6666666666666666e-01 +3.9268753221554806e-02 
+1.0024768768201542e-01 +8.3333333333333337e-01 +5.0122840655586448e-02 
+1.3537176133721904e-01 +8.3333333333333337e-01 +6.7682954732618969e-02 
+1.5707963267948966e-01 +1.6666666666666666e-01 +7.8534361990450510e-02 

+1.5707963267948966e-01 +1.6666666666666666e-01 +7.8534330799563803e-02 
+1.7878750402176025e-01 +8.3333333333333337e-01 +8.9386523229494030e-02 
+2.1391157767696389e-01 +8.3333333333333337e-01 +1.0694324474283373e-01 
+2.3561944901923448e-01 +1.6666666666666666e-01 +1.1779235356542435e-01 

+2.3561944901923448e-01 +1.6666666666666666e-01 +1.1779231602336529e-01 
+2.5732732036150507e-01 +8.3333333333333337e-01 +1.2864164175963597e-01 
+2.9245139401670872e-01 +8.3333333333333337e-01 +1.4619328078063590e-01 
+3.1415926535897931e-01 +1.6666666666666666e-01 +1.5703897399085900e-01 

+3.1415926535897931e-01 +1.6666666666666666e-01 +1.5703893182316667e-01 
+3.3586713670124990e-01 +8.3333333333333337e-01 +1.6788437939081802e-01 
+3.7099121035645355e-01 +8.3333333333333337e-01 +1.8542924633514885e-01 
+3.9269908169872414e-01 +1.6666666666666666e-01 +1.9627044696687931e-01 

+3.9269908169872414e-01 +1.6666666666666666e-01 +1.9627040130780457e-01 
+4.1440695304099473e-01 +8.3333333333333337e-01 +2.0711094461329244e-01 
+4.4953102669619838e-01 +8.3333333333333337e-01 +2.2464734961659294e-01 
+4.7123889803846897e-01 +1.6666666666666666e-01 +2.3548299497615191e-01 

+4.7123889803846897e-01 +1.6666666666666666e-01 +2.3548294661907679e-01 
+4.9294676938073956e-01 +8.3333333333333337e-01 +2.4631755299889868e-01 
+5.2807084303594320e-01 +8.3333333333333337e-01 +2.6384380652239592e-01 
+5.4977871437821380e-01 +1.6666666666666666e-01 +2.7467284088851190e-01 

+5.4977871437821380e-01 +1.6666666666666666e-01 +2.7467279041040593e-01 
+5.7148658572048439e-01 +8.3333333333333337e-01 +2.8550042392923347e-01 
+6.0661065937568803e-01 +8.3333333333333337e-01 +3.0301483715551103e-01 
+6.2831853071795862e-01 +1.6666666666666666e-01 +3.1383620897038400e-01 

+6.2831853071795862e-01 +1.6666666666666666e-01 +3.1383615680262394e-01 
+6.5002640206022921e-01 +8.3333333333333337e-01 +3.2465577987667738e-01 
+6.8515047571543286e-01 +8.3333333333333337e-01 +3.4215666498637243e-01 
+7.0685834705770345e-01 +1.6666666666666666e-01 +3.5296932557431598e-01 

+7.0685834705770345e-01 +1.6666666666666666e-01 +3.5296927204644363e-01 
+7.2856621839997404e-01 +8.3333333333333337e-01 +3.6377984635997623e-01 
+7.6369029205517769e-01 +8.3333333333333337e-01 +3.8126551675312098e-01 
+7.8539816339744828e-01 +1.6666666666666666e-01 +3.9206841967767064e-01 

+7.8539816339744828e-01 +1.6666666666666666e-01 +3.9206836504594356e-01 
+8.0710603473971887e-01 +8.3333333333333337e-01 +4.0286885212807416e-01 
+8.4223010839492252e-01 +8.3333333333333337e-01 +4.2033762261873436e-01 
+8.6393797973719311e-01 +1.6666666666666666e-01 +4.3112972334640209e-01 

+8.6393797973719311e-01 +1.6666666666666666e-01 +4.3112966781316053e-01 
+8.8564585107946370e-01 +8.3333333333333337e-01 +4.4191902943493949e-01 
+9.2076992473466734e-01 +8.3333333333333337e-01 +4.5936921643215106e-01 
